text,id,pubdate
10 Things Missing In The New Twitter Interface http://bit.ly/bLZXI3 #NewTwitter,2602860537,18536
RT @_NATURALBWINNER OH AND I DONT LIKE THIS #NEWTWITTER SHIT < seeeeeee nobody likes this #newtwitter bullsh** . . eat a dick new twitter !,2602850443,18536
RT @HBO24 yo the #newtwitter is better.. YUPP I SAID IT!<What is new twitter...i m still waitin for su?1 2 fill me in,2602761852,18535
"Aaaaaaaand I have the new twitter! Yay! I should have checked sooner, but I have been busy. I like it! #NewTwitter",2602738438,18535
can I please have the new twitter? #twitter #newtwitter,2602684185,18535
"Seriously, still no new Twitter layout? How many weeks is this suppose to take?! #newtwitter",2602678435,18535
"Confieso q el #NewTwitter no me mata, c/vez que veo ""psst the new twitter is here"" (o como sea que dice) lo ignoro esperando a q desaparezc",2602600751,18535
I have the new twitter. Who else? :) #NewTwitter,2602585892,18535
HOW DO I DOWNLOAD NEW TWITTER? #newtwitter #help #knowledge #thisISshit,2602548822,18535
"same here- urs fixed yet? RT @tamarafarley Hrm, my #lists function doesn't work on the new Twitter. What gives? #newTwitter #fail",2602529998,18535
When is the new twitter going to rollout to me? #newtwitter,2602486242,18535
Stage 2 RT @celeryjacket: Omg New Twitter is beautiful :O *designgasm* #newtwitter,2602434234,18535
"ps, er, what happened to new twitter embedding pictures? just saying... #newtwitter",2602427093,18535
I loved writing about #newtwitter with @mikeschaffer & @nakeva (http://bit.ly/cEMBl3) but can I PLEASE get upgraded @twitter? Thx!,2602382610,18535
@adactio hopefully he has the Twitter iPad app by now. I like it even better than the new Twitter :) #newtwitter,2602351386,18535
7 Really Cool Things About The #NewTwitter http://ow.ly/1qYuwg,2602304053,18535
How To Make Backgrounds for #NewTwitter http://bit.ly/9h1c9B via @askdebra @GautamGhosh @shilpiiz @SocialSideMedia,2602293760,18535
7 Really Cool Things About #NewTwitter | @SocialMedia2day http://bit.ly/dCcug6,2602291642,18535
A new Twitter experience is coming! Learn more about it… #NewTwitter << I KNOW JUST GIVE IT TO ME! @Twitter :),2605797274,18536
 #NewTwitter  RT @dwadeofficial: Hey..so I need the new twitter can any1 send it 2 me plz and thank you in advance,2605784589,18536
JUST GOT NEW TWITTER SO EXCITED!!!! #newtwitter,2605769279,18536
@twitter And finally the new Twitter has come to me! WOW!!! http://goo.gl/TrGC #newtwitter,2605718918,18536
@TheOnlyAnil you just block to use #newtwitter reason behind some celeb complain @ev dont give him new twitter lolz,2605716033,18536
"RT @fuckingelle: I don't have #NewTwitter yet :( Being the youngest child, I'll only get Hand-Me-Down Twitter once you've all grown out of",2605705647,18536
RT @nakeva @iammsparker Did you read our post on #newtwitter http://bit.ly/cEMBl3 ? @alexpriest @itsdarryldsmith @amylizmartin @mikeschaffe,2605673215,18536
RT @NewHighScore: #newtwitter Design Based on the Golden Ratio: http://bit.ly/aAtxid,2605667880,18536
I like the new twitter #newtwitter,2605666328,18536
"New Twitter Is About 50 Percent Rolled Out: http://goo.gl/8Vr9 - Still I have to ask, where's mine? #NewTwitter",2605661480,18536
I love the new Twitter RT @JKs_sweetcloud: @Shytowne eventually everyone will have the #newtwitter ....sux huh?,2605593001,18536
"SWEET... my ""New"" Twitter just got activated. Going to give it a whirl. #NewTwitter",2605566041,18536
@iammsparker Did you read our post on #newtwitter http://bit.ly/cEMBl3 ? @alexpriest @itsdarryldsmith @amylizmartin @mikeschaffer,2605514919,18536
#octoberwish get the new twitter sometime this month! #newtwitter,2605512215,18536
Oh bliss. New Twitter as a Fluid app. My new desktop Twitter interface for my Mac. No fuss. No jazz. Perfect. Simple. #newtwitter,2605407147,18536
#newtwitter this is the reason why new twitter is better http://www.youtube.com/watch?v=E_wNpSpJEr8,2605402808,18536
"#newtwitter is skeered of ""The Eye"". So is ""The Tiki"". RT @nikole13: Why don't I have new twitter yet? WHY DOESN'T GOD LOVE ME?",2605402392,18536
Ummm so what is new twitter....I'm so confused! #NewTwitter,2605342892,18536
"The new twitter is fat. Stop trying to make me use it, twitter. #newtwitter",2605292929,18536
"#newtwitter adds a whole new dimension to microblogging. Check the shortcuts, we found this guide for you Tweeps  http://bit.ly/bLxumH",2605285296,18536
The subliminal reason I love the #newtwitter design! http://t.co/1LRTpVm via @mashdevdesign @mashable,2605269376,18536
The new twitter is cool! #newtwitter,2605264075,18536
I don't understand the new twitter interface... Where are the reply and re-tweet buttons?  #newtwitter,2605252639,18536
"I've got the #newtwitter! @MPongco @maryannewendt @JPongco  @alexcortez @RaquelMarieee Any of you guys have the ""new"" #twitter yet?",2605230286,18536
#NewTwitter just rolled out. Heres a preview of how we look on the new twitter. http://fb.me/JNygeyXH,2605225421,18536
RT @asalothman: likes the new twitter :) .. #NewTwitter,2605193516,18536
I like the UI for new twitter #NewTwitter,2605188424,18536
RT @meetkochar: and tomorrow wn i log in... i need new twitter... did u hear that???... hmmmm betterrr.... #newtwitter,2605158065,18536
No backlash from moi cuz #NewTwitter rules! RT @TechCrunch New Twitter ~50%Rolled Out.Where's Facebook-Style Backlash? http://tcrn.ch/dyAo7,2605127483,18536
I finally have the new Twitter! It's pretty awesome! #NewTwitter,2605102139,18536
Bugtracking.. Let's make things straight - new Twitter has too much stupid bugs and it shouldn't be released in this form. #newtwitter,2605058990,18536
Good to know RT @CarlaYoung New to #NewTwitter? A few ideas on how to take full advantage of the new features... http://ow.ly/2MI6c,2604947977,18536
new twitter   #newtwitter,2604939685,18536
"New blog post  ""New Twitter"" backgrounds completed. [portfolio shots] http://ow.ly/2MImo #newtwitter #design",2604935056,18536
some people don't like the new twitter? i don't even have the #newtwitter . lol,2604925089,18536
@Jigglybits1914 Try this one: #NewTwitter Introduction http://ow.ly/2MIi4,2604901508,18536
"RT @twitter: Today we’re launching a new Twitter.com—a faster, easier, and richer way to discover what’s new in your world. #NewTwitter",2604890567,18536
RT @CarlaYoung: New to #NewTwitter? A few ideas on how to take full advantage of the new features... http://ow.ly/2MI6c,2604875100,18536
|| hmm... #NewTwitter || http://bit.ly/912nFN,2604847192,18536
New to #NewTwitter? A few ideas on how to take full advantage of the new features... http://ow.ly/2MI6c,2604815809,18536
RT @amylizmartin: I loved writing about #newtwitter with @mikeschaffer & @nakeva (http://bit.ly/cEMBl3) but can I PLEASE get upgraded @twit,2604805874,18536
Giving the #NewTwitter a try for the first time! Lovin' the new Layout and #Design! Have you given the New Twitter a try yet?,2604764279,18536
Here is a #photoshop #template of the #newtwitter interface to easily customize your background - http://bit.ly/cuOjZ1,2604755798,18536
I'm I the only one who hasn't gotten the new twitter??? #newtwitter,2604749911,18536
RT @youthinking: ~      RT @mashable: New Twitter Design Based on the Golden Ratio [IMAGE] - http://mash.to/2LHbx #n,2604705829,18536
This new Twitter is pretty sweet #newtwitter,2604693305,18536
RT @MsPanamaBOMB: New twitter sucks monkey dick < lol i still havent been able to see the #newtwitter =P,2604685477,18536
What do you guys think about the new Twitter?  Love it? Hate it? Let me know your thoughts! #newtwitter,2604543255,18536
@ReginoFerrari New twitter is mean. And I can't go back to the original one! #NewTwitter is a douched up version of the twitter I love!,2604528218,18536
I love #newtwitter RT @T2daK: This new twitter for the web is not bad.  I think i likes.,2604525990,18536
"""Should You Use the New Twitter.com or a Twitter App?"" ( http://gizmo.do/b4zeBN ) #NewTwitter",2604506552,18536
"""#NewTwitter Is About 50 Percent Rolled Out — Where’s The Facebook-Style Backlash?"" - http://is.gd/fDoRb",2604462074,18536
New Twitter Is About 50% Rolled Out — Where’s The Facebook-Style Backlash? http://bit.ly/bqLreq RT @YasirKhan #newtwitter,2604411350,18536
Me! :D it's superb! #newtwitter RT @aquilaasia Who is on the new Twitter? Anyone have a screen shot? Any good new features?,2604400503,18536
"Just checking out the new twitter...not sure what I think. But as they say, a change will do you good. #newtwitter",2604396647,18536
#NewTwitter Is About 50 Percent Rolled Out — Where’s The Facebook-Style Backlash? - http://bit.ly/a5iUui RT @mikelking,2604395808,18536
 #NewTwitter RT @TechCrunch: New Twitter Is About 50 Percent Rolled Out -- Where's The Facebook-Style Backlash? http://tcrn.ch/dyAo,2604393800,18536
twitter keeps bothering me about new twitter. UNDERSTAND ME. i dont want #newtwitter. thanks.,2604389080,18536
"I don't know what everyone is whining about, I actually kinda like the new twitter.  #newtwitter @twitter",2604285263,18536
@mkemegs #newtwitter (doesn't affect tweetdeck)  http://t.co/SoxyI8w via @mashsocialmedia @mashable,2604209867,18536
RT @jillsmo: THERE IS NO NEW TWITTER ONLY ZOOL #newtwitter,2604174214,18536
RT @youthinking: ~      RT @mashable: New Twitter Design Based on the Golden Ratio [IMAGE] - http://mash.to/2LHbx #n,2604081632,18536
I'm liking the new twitter look & feel so far. Think i will give the tweetdecks et al the flick #newtwitter,2604063955,18536
Wow.. the new twitter looks awesome.. http://lnk.co/NewTwitter #newtwitter,2604034038,18536
"I am trying the New"" #Twitter -  not sure I like it?  If you like pls tell me what you like about it & why? #newtwitter",2604001255,18536
Apa tuh new twitter? RT @addis_te3: #BREAKINGNEWS baru coba #NEWTWITTER okeee jugaa..,2603980783,18536
oooh...me likes the new Twitter! #newtwitter,2603947439,18536
"me sentindo ""excluída"" por ainda não ter o new twitter.   :-(   #newtwitter",2603896891,18536
"not digging this new twitter, no way to know about DMs until I get the email notification  #newtwitter fail",2603671312,18536
New twitter maksudnya apa sih? RT @annoyingsarah: I'm using the #NewTwitter,2603649603,18536
RT @Darereis2510: How the fuck do you reply to a tweet on the #newtwitter shyt??> There's a new twitter?,2603599971,18536
At first I hated the new twitter page...But now i'm kind of loving it! #Newtwitter,2603592320,18536
where o where is my new twitter? #newtwitter,2603579772,18536
I have no new twitter = (bad luck ...! quieor the new twitter    #NewTwitter,2603579005,18536
