reviewID,label
67000000,1
67000001,0
67000002,1
67000003,0
67000004,1
67000005,0
67000006,0
67000007,0
67000008,1
67000009,0
67000010,0
67000011,0
67000012,1
67000013,0
67000014,1
67000015,0
67000016,0
67000017,0
67000018,0
67000019,0
67000020,1
67000021,0
67000022,0
67000023,0
67000024,0
67000025,0
67000026,0
67000027,0
67000028,0
67000029,0
67000030,0
67000031,0
67000032,0
67000033,0
67000034,0
67000035,0
67000036,0
67000037,0
67000038,0
67000039,0
67000040,0
67000041,0
67000042,0
67000043,1
67000044,0
67000045,1
67000046,0
67000047,0
67000048,0
67000049,0
67000050,0
67000051,1
67000052,0
67000053,0
67000054,0
67000055,0
67000056,0
67000057,1
67000058,0
67000059,1
67000060,0
67000061,0
67000062,0
67000063,0
67000064,0
67000065,0
67000066,0
67000067,0
67000068,0
67000069,0
67000070,0
67000071,1
67000072,0
67000073,0
67000074,1
67000075,0
67000076,0
67000077,0
67000078,0
67000079,0
67000080,0
67000081,0
67000082,1
67000083,1
67000084,0
67000085,1
67000086,0
67000087,1
67000088,0
67000089,0
67000090,1
67000091,0
67000092,0
67000093,0
67000094,0
67000095,0
67000096,1
67000097,0
67000098,0
67000099,0
67000100,0
67000101,0
67000102,1
67000103,1
67000104,0
67000105,1
67000106,0
67000107,0
67000108,0
67000109,0
67000110,0
67000111,0
67000112,0
67000113,0
67000114,0
67000115,0
67000116,1
67000117,0
67000118,0
67000119,0
67000120,0
67000121,1
67000122,1
67000123,0
67000124,1
67000125,1
67000126,0
67000127,0
67000128,1
67000129,0
67000130,0
67000131,0
67000132,0
67000133,0
67000134,0
67000135,0
67000136,0
67000137,0
67000138,0
67000139,1
67000140,0
67000141,0
67000142,0
67000143,0
67000144,0
67000145,0
67000146,0
67000147,1
67000148,0
67000149,1
67000150,0
67000151,1
67000152,0
67000153,1
67000154,0
67000155,0
67000156,0
67000157,0
67000158,0
67000159,1
67000160,0
67000161,0
67000162,0
67000163,0
67000164,0
67000165,0
67000166,0
67000167,0
67000168,1
67000169,1
67000170,0
67000171,0
67000172,0
67000173,0
67000174,0
67000175,1
67000176,0
67000177,0
67000178,0
67000179,0
67000180,0
67000181,0
67000182,0
67000183,0
67000184,0
67000185,1
67000186,0
67000187,0
67000188,0
67000189,0
67000190,1
67000191,0
67000192,0
67000193,0
67000194,0
67000195,0
67000196,1
67000197,1
67000198,0
67000199,0
67000200,0
67000201,1
67000202,1
67000203,0
67000204,0
67000205,0
67000206,0
67000207,1
67000208,0
67000209,0
67000210,1
67000211,0
67000212,0
67000213,0
67000214,0
67000215,0
67000216,0
67000217,0
67000218,0
67000219,0
67000220,1
67000221,0
67000222,0
67000223,1
67000224,0
67000225,0
67000226,0
67000227,0
67000228,0
67000229,0
67000230,0
67000231,0
67000232,0
67000233,0
67000234,0
67000235,0
67000236,0
67000237,1
67000238,0
67000239,0
67000240,0
67000241,0
67000242,0
67000243,0
67000244,1
67000245,0
67000246,0
67000247,0
67000248,0
67000249,1
67000250,1
67000251,0
67000252,0
67000253,0
67000254,0
67000255,0
67000256,0
67000257,0
67000258,0
67000259,1
67000260,1
67000261,1
67000262,1
67000263,1
67000264,0
67000265,0
67000266,0
67000267,0
67000268,0
67000269,0
67000270,0
67000271,0
67000272,0
67000273,0
67000274,0
67000275,0
67000276,0
67000277,1
67000278,0
67000279,1
67000280,0
67000281,0
67000282,0
67000283,0
67000284,0
67000285,1
67000286,0
67000287,0
67000288,0
67000289,0
67000290,0
67000291,1
67000292,0
67000293,0
67000294,0
67000295,0
67000296,0
67000297,1
67000298,0
67000299,0
67000300,1
67000301,1
67000302,0
67000303,0
67000304,1
67000305,0
67000306,0
67000307,0
67000308,1
67000309,0
67000310,0
67000311,1
67000312,0
67000313,1
67000314,0
67000315,0
67000316,0
67000317,0
67000318,0
67000319,0
67000320,0
67000321,0
67000322,0
67000323,0
67000324,0
67000325,0
67000326,1
67000327,0
67000328,0
67000329,0
67000330,0
67000331,0
67000332,1
67000333,0
67000334,0
67000335,0
67000336,0
67000337,1
67000338,0
67000339,0
67000340,1
67000341,0
67000342,0
67000343,0
67000344,0
67000345,1
67000346,0
67000347,1
67000348,0
67000349,0
67000350,1
67000351,0
67000352,1
67000353,0
67000354,0
67000355,1
67000356,0
67000357,0
67000358,1
67000359,0
67000360,0
67000361,0
67000362,0
67000363,0
67000364,0
67000365,0
67000366,0
67000367,1
67000368,1
67000369,0
67000370,0
67000371,0
67000372,0
67000373,0
67000374,1
67000375,0
67000376,0
67000377,1
67000378,0
67000379,0
67000380,0
67000381,0
67000382,0
67000383,0
67000384,0
67000385,0
67000386,0
67000387,0
67000388,0
67000389,0
67000390,0
67000391,0
67000392,0
67000393,0
67000394,0
67000395,0
67000396,0
67000397,0
67000398,0
67000399,0
67000400,0
67000401,0
67000402,0
67000403,0
67000404,0
67000405,0
67000406,0
67000407,1
67000408,1
67000409,0
67000410,0
67000411,0
67000412,0
67000413,0
67000414,0
67000415,0
67000416,0
67000417,0
67000418,0
67000419,1
67000420,0
67000421,0
67000422,0
67000423,0
67000424,0
67000425,1
67000426,0
67000427,0
67000428,0
67000429,0
67000430,0
67000431,0
67000432,0
67000433,0
67000434,0
67000435,0
67000436,1
67000437,0
67000438,1
67000439,0
67000440,1
67000441,0
67000442,0
67000443,0
67000444,0
67000445,0
67000446,0
67000447,0
67000448,0
67000449,0
67000450,1
67000451,0
67000452,0
67000453,0
67000454,1
67000455,1
67000456,1
67000457,0
67000458,1
67000459,0
67000460,0
67000461,0
67000462,1
67000463,1
67000464,0
67000465,0
67000466,0
67000467,0
67000468,0
67000469,0
67000470,1
67000471,0
67000472,0
67000473,0
67000474,1
67000475,0
67000476,0
67000477,0
67000478,0
67000479,0
67000480,1
67000481,1
67000482,0
67000483,1
67000484,0
67000485,1
67000486,0
67000487,0
67000488,0
67000489,1
67000490,0
67000491,0
67000492,0
67000493,0
67000494,0
67000495,0
67000496,0
67000497,0
67000498,1
67000499,0
67000500,0
67000501,1
67000502,0
67000503,0
67000504,0
67000505,0
67000506,0
67000507,0
67000508,1
67000509,0
67000510,0
67000511,0
67000512,0
67000513,0
67000514,0
67000515,0
67000516,0
67000517,0
67000518,0
67000519,0
67000520,0
67000521,0
67000522,0
67000523,0
67000524,1
67000525,0
67000526,0
67000527,0
67000528,0
67000529,0
67000530,0
67000531,0
67000532,0
67000533,0
67000534,0
67000535,0
67000536,0
67000537,0
67000538,0
67000539,1
67000540,0
67000541,0
67000542,0
67000543,0
67000544,0
67000545,0
67000546,0
67000547,0
67000548,1
67000549,1
67000550,1
67000551,1
67000552,0
67000553,0
67000554,1
67000555,0
67000556,0
67000557,0
67000558,0
67000559,0
67000560,0
67000561,0
67000562,0
67000563,0
67000564,1
67000565,0
67000566,0
67000567,0
67000568,1
67000569,1
67000570,0
67000571,0
67000572,0
67000573,0
67000574,0
67000575,0
67000576,1
67000577,0
67000578,0
67000579,0
67000580,0
67000581,0
67000582,0
67000583,0
67000584,0
67000585,1
67000586,0
67000587,0
67000588,0
67000589,0
67000590,1
67000591,0
67000592,0
67000593,0
67000594,1
67000595,0
67000596,0
67000597,0
67000598,0
67000599,0
67000600,1
67000601,0
67000602,0
67000603,1
67000604,0
67000605,0
67000606,0
67000607,0
67000608,0
67000609,0
67000610,1
67000611,0
67000612,0
67000613,0
67000614,0
67000615,1
67000616,0
67000617,1
67000618,0
67000619,0
67000620,0
67000621,1
67000622,1
67000623,0
67000624,0
67000625,1
67000626,0
67000627,0
67000628,0
67000629,0
67000630,1
67000631,0
67000632,1
67000633,0
67000634,0
67000635,0
67000636,0
67000637,0
67000638,0
67000639,0
67000640,1
67000641,0
67000642,1
67000643,0
67000644,1
67000645,0
67000646,0
67000647,0
67000648,0
67000649,0
67000650,0
67000651,0
67000652,0
67000653,0
67000654,0
67000655,0
67000656,0
67000657,0
67000658,0
67000659,1
67000660,0
67000661,0
67000662,1
67000663,0
67000664,0
67000665,1
67000666,0
67000667,0
67000668,0
67000669,0
67000670,1
67000671,0
67000672,0
67000673,0
67000674,0
67000675,1
67000676,1
67000677,0
67000678,0
67000679,0
67000680,1
67000681,0
67000682,0
67000683,0
67000684,0
67000685,1
67000686,0
67000687,0
67000688,0
67000689,1
67000690,0
67000691,0
67000692,1
67000693,1
67000694,0
67000695,0
67000696,0
67000697,0
67000698,0
67000699,1
67000700,0
67000701,0
67000702,1
67000703,0
67000704,1
67000705,0
67000706,0
67000707,0
67000708,0
67000709,0
67000710,0
67000711,1
67000712,1
67000713,0
67000714,0
67000715,0
67000716,0
67000717,1
67000718,1
67000719,0
67000720,0
67000721,0
67000722,1
67000723,0
67000724,0
67000725,0
67000726,0
67000727,0
67000728,0
67000729,0
67000730,0
67000731,0
67000732,0
67000733,0
67000734,0
67000735,0
67000736,0
67000737,0
67000738,1
67000739,0
67000740,0
67000741,0
67000742,1
67000743,0
67000744,0
67000745,0
67000746,0
67000747,0
67000748,0
67000749,0
67000750,0
67000751,0
67000752,0
67000753,0
67000754,0
67000755,0
67000756,1
67000757,0
67000758,0
67000759,0
67000760,1
67000761,0
67000762,0
67000763,0
67000764,0
67000765,0
67000766,0
67000767,0
67000768,0
67000769,1
67000770,0
67000771,0
67000772,1
67000773,0
67000774,0
67000775,0
67000776,0
67000777,0
67000778,0
67000779,1
67000780,0
67000781,0
67000782,0
67000783,0
67000784,1
67000785,0
67000786,1
67000787,1
67000788,1
67000789,1
67000790,0
67000791,0
67000792,0
