reviewID,label
67000000,0
67000001,0
67000002,0
67000003,0
67000004,0
67000005,0
67000006,1
67000007,0
67000008,1
67000009,1
67000010,0
67000011,0
67000012,1
67000013,0
67000014,0
67000015,1
67000016,0
67000017,0
67000018,1
67000019,1
67000020,1
67000021,1
67000022,0
67000023,0
67000024,0
67000025,1
67000026,1
67000027,0
67000028,1
67000029,0
67000030,0
67000031,1
67000032,0
67000033,1
67000034,0
67000035,0
67000036,0
67000037,0
67000038,1
67000039,1
67000040,1
67000041,1
67000042,0
67000043,1
67000044,0
67000045,0
67000046,0
67000047,1
67000048,0
67000049,0
67000050,0
67000051,0
67000052,0
67000053,1
67000054,0
67000055,0
67000056,0
67000057,1
67000058,0
67000059,1
67000060,0
67000061,1
67000062,1
67000063,0
67000064,0
67000065,1
67000066,0
67000067,0
67000068,0
67000069,1
67000070,1
67000071,0
67000072,0
67000073,0
67000074,1
67000075,1
67000076,0
67000077,0
67000078,0
67000079,0
67000080,0
67000081,1
67000082,0
67000083,1
67000084,0
67000085,1
67000086,0
67000087,1
67000088,1
67000089,0
67000090,0
67000091,0
67000092,0
67000093,1
67000094,1
67000095,0
67000096,1
67000097,1
67000098,0
67000099,0
67000100,1
67000101,1
67000102,1
67000103,1
67000104,0
67000105,0
67000106,0
67000107,0
67000108,0
67000109,1
67000110,1
67000111,0
67000112,0
67000113,0
67000114,0
67000115,1
67000116,0
67000117,1
67000118,1
67000119,0
67000120,0
67000121,0
67000122,0
67000123,0
67000124,0
67000125,0
67000126,0
67000127,1
67000128,0
67000129,0
67000130,0
67000131,1
67000132,0
67000133,1
67000134,0
67000135,1
67000136,1
67000137,1
67000138,1
67000139,1
67000140,0
67000141,1
67000142,0
67000143,0
67000144,1
67000145,1
67000146,0
67000147,1
67000148,1
67000149,1
67000150,1
67000151,1
67000152,0
67000153,1
67000154,0
67000155,1
67000156,1
67000157,1
67000158,0
67000159,0
67000160,0
67000161,0
67000162,0
67000163,0
67000164,0
67000165,0
67000166,0
67000167,0
67000168,0
67000169,1
67000170,0
67000171,0
67000172,1
67000173,0
67000174,1
67000175,0
67000176,0
67000177,0
67000178,0
67000179,0
67000180,0
67000181,0
67000182,0
67000183,0
67000184,0
67000185,1
67000186,0
67000187,0
67000188,1
67000189,0
67000190,0
67000191,1
67000192,1
67000193,0
67000194,0
67000195,0
67000196,0
67000197,1
67000198,1
67000199,1
67000200,1
67000201,1
67000202,0
67000203,0
67000204,1
67000205,1
67000206,1
67000207,1
67000208,1
67000209,1
67000210,0
67000211,0
67000212,0
67000213,1
67000214,0
67000215,0
67000216,0
67000217,0
67000218,1
67000219,0
67000220,0
67000221,1
67000222,1
67000223,0
67000224,0
67000225,0
67000226,0
67000227,1
67000228,0
67000229,1
67000230,1
67000231,0
67000232,1
67000233,0
67000234,0
67000235,0
67000236,1
67000237,1
67000238,0
67000239,1
67000240,0
67000241,1
67000242,1
67000243,0
67000244,0
67000245,1
67000246,0
67000247,0
67000248,0
67000249,0
67000250,1
67000251,0
67000252,0
67000253,0
67000254,0
67000255,0
67000256,0
67000257,0
67000258,0
67000259,0
67000260,0
67000261,0
67000262,1
67000263,1
67000264,0
67000265,0
67000266,0
67000267,0
67000268,0
67000269,1
67000270,0
67000271,1
67000272,0
67000273,0
67000274,0
67000275,0
67000276,1
67000277,0
67000278,0
67000279,1
67000280,1
67000281,0
67000282,0
67000283,0
67000284,0
67000285,1
67000286,1
67000287,0
67000288,0
67000289,0
67000290,0
67000291,0
67000292,0
67000293,1
67000294,1
67000295,0
67000296,1
67000297,1
67000298,1
67000299,1
67000300,0
67000301,1
67000302,0
67000303,1
67000304,0
67000305,0
67000306,1
67000307,0
67000308,0
67000309,0
67000310,1
67000311,1
67000312,1
67000313,0
67000314,1
67000315,1
67000316,1
67000317,0
67000318,1
67000319,0
67000320,0
